subject_id,item_id,counterbalance,type,goal,audience,audience_group,option1.tangram,option1.shared,option1.group,option1.label,option2.tangram,option2.shared,option2.group,option2.label,response.tangram,response.shared,response.group,response.label,understood
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,social,one,red,C,shared,red,falling guy,D,unique,red,priest,D,unique,red,priest,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,one,blue,L,shared,blue,zigzag,D,unique,blue,long sleeved book,L,shared,blue,zigzag,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,social,one,red,B,shared,red,mouse,D,unique,red,priest,D,unique,red,priest,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,either,,L,shared,blue,zigzag,D,unique,blue,long sleeved book,L,shared,blue,zigzag,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,either,,B,shared,blue,mouse,A,unique,blue,zombie,B,shared,blue,mouse,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,either,,L,shared,red,zigzag,H,unique,red,baby,L,shared,red,zigzag,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,one,blue,L,shared,blue,zigzag,A,unique,blue,zombie,A,unique,blue,zombie,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,social,one,red,L,shared,red,zigzag,D,unique,red,priest,D,unique,red,priest,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,one,red,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,one,red,C,shared,red,falling guy,A,unique,red,thriller,C,shared,red,falling guy,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,either,,C,shared,red,falling guy,H,unique,red,baby,C,shared,red,falling guy,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,either,,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,either,,C,shared,blue,falling guy,H,unique,blue,no arms,C,shared,blue,falling guy,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,either,,L,shared,red,zigzag,A,unique,red,thriller,L,shared,red,zigzag,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,one,blue,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,one,blue,L,shared,blue,zigzag,H,unique,blue,no arms,L,shared,blue,zigzag,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,social,one,blue,B,shared,blue,mouse,H,unique,blue,no arms,B,shared,blue,mouse,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,same,social,one,blue,H,unique,red,baby,H,unique,blue,no arms,H,unique,blue,no arms,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,either,,C,shared,blue,falling guy,A,unique,blue,zombie,C,shared,blue,falling guy,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,refer,one,red,L,shared,red,zigzag,D,unique,red,priest,L,shared,red,zigzag,yes
61a9b8fc-e590-41b3-8fbd-1495964f59c6,0,a,diff,social,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,A,unique,blue,zombie,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,same,refer,either,,L,shared,blue,zigzag,L,,unseen,bent knees,L,shared,blue,zigzag,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,social,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,B,shared,blue,mouse,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,social,one,blue,C,shared,blue,falling guy,A,unique,blue,zombie,C,shared,blue,falling guy,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,one,red,B,shared,red,mouse,A,unique,red,thriller,A,unique,red,thriller,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,either,,C,shared,blue,falling guy,A,unique,blue,zombie,A,unique,blue,zombie,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,one,red,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,either,,C,shared,blue,falling guy,H,unique,blue,no arms,H,unique,blue,no arms,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,social,one,blue,C,shared,blue,falling guy,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,one,blue,B,shared,blue,mouse,H,unique,blue,no arms,H,unique,blue,no arms,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,social,one,red,L,shared,red,zigzag,H,unique,red,baby,H,unique,red,baby,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,either,,L,shared,red,zigzag,D,unique,red,priest,L,shared,red,zigzag,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,same,social,one,blue,A,unique,red,thriller,A,unique,blue,zombie,A,unique,blue,zombie,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,one,blue,L,shared,blue,zigzag,H,unique,blue,no arms,H,unique,blue,no arms,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,same,refer,one,blue,L,shared,blue,zigzag,L,,unseen,bent knees,L,,unseen,bent knees,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,either,,B,shared,blue,mouse,A,unique,blue,zombie,A,unique,blue,zombie,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,social,one,blue,B,shared,blue,mouse,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,either,,B,shared,red,mouse,A,unique,red,thriller,B,shared,red,mouse,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,same,refer,one,red,C,shared,red,falling guy,C,,unseen,no legs,C,shared,red,falling guy,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,one,blue,L,shared,blue,zigzag,A,unique,blue,zombie,A,unique,blue,zombie,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,social,one,blue,L,shared,blue,zigzag,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,one,blue,C,shared,blue,falling guy,H,unique,blue,no arms,H,unique,blue,no arms,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,social,one,red,C,shared,red,falling guy,D,unique,red,priest,D,unique,red,priest,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,one,blue,B,shared,blue,mouse,D,unique,blue,long sleeved book,B,shared,blue,mouse,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,same,social,one,red,A,unique,red,thriller,A,unique,blue,zombie,A,unique,red,thriller,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,either,,C,shared,red,falling guy,H,unique,red,baby,C,shared,red,falling guy,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,B,shared,blue,mouse,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,same,refer,one,red,B,shared,red,mouse,B,,unseen,princess dance,B,shared,red,mouse,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,either,,L,shared,blue,zigzag,A,unique,blue,zombie,L,shared,blue,zigzag,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,same,social,one,blue,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,one,red,B,shared,red,mouse,D,unique,red,priest,D,unique,red,priest,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,either,,C,shared,red,falling guy,D,unique,red,priest,C,shared,red,falling guy,yes
17cbc13e-74bb-4377-bd82-23c5b37fb4ee,0,a,diff,refer,either,,B,shared,blue,mouse,D,unique,blue,long sleeved book,B,shared,blue,mouse,yes
