subject_id,item_id,type,goal,audience,audience_group,option1.tangram,option1.shared,option1.group,option1.label,option2.tangram,option2.shared,option2.group,option2.label,response.tangram,response.shared,response.group,response.label,understood
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,B,shared,blue,mouse,H,unique,blue,no arms,H,unique,blue,no arms,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,same,refer,both,,C,shared,,falling guy,C,,unseen,no legs,C,shared,,falling guy,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,L,shared,blue,zigzag,A,unique,blue,zombie,L,shared,blue,zigzag,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,red,L,shared,red,zigzag,A,unique,red,thriller,A,unique,red,thriller,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,blue,L,shared,blue,zigzag,H,unique,blue,no arms,H,unique,blue,no arms,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,red,C,shared,red,falling guy,A,unique,red,thriller,A,unique,red,thriller,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,same,refer,both,,L,shared,,zigzag,L,,unseen,bent knees,L,shared,,zigzag,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,B,shared,blue,mouse,A,unique,blue,zombie,A,unique,blue,zombie,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,same,refer,one,red,L,shared,,zigzag,L,,unseen,bent knees,L,,unseen,bent knees,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,L,shared,blue,zigzag,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,C,shared,red,falling guy,A,unique,red,thriller,C,shared,red,falling guy,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,blue,C,shared,blue,falling guy,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,same,refer,one,blue,C,shared,,falling guy,C,,unseen,no legs,C,,unseen,no legs,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,C,shared,blue,falling guy,A,unique,blue,zombie,C,shared,blue,falling guy,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,blue,B,shared,blue,mouse,D,unique,blue,long sleeved book,B,shared,blue,mouse,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,red,B,shared,red,mouse,D,unique,red,priest,D,unique,red,priest,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,blue,L,shared,blue,zigzag,H,unique,blue,no arms,L,shared,blue,zigzag,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,A,unique,blue,zombie,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,B,shared,red,mouse,D,unique,red,priest,D,unique,red,priest,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,red,B,shared,red,mouse,A,unique,red,thriller,B,shared,red,mouse,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,same,refer,one,blue,B,shared,,mouse,B,,unseen,princess dance,B,shared,,mouse,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,red,L,shared,red,zigzag,D,unique,red,priest,D,unique,red,priest,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,same,social,one,red,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,red,priest,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,C,shared,red,falling guy,D,unique,red,priest,C,shared,red,falling guy,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,blue,L,shared,blue,zigzag,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,red,L,shared,red,zigzag,D,unique,red,priest,D,unique,red,priest,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,red,C,shared,red,falling guy,H,unique,red,baby,H,unique,red,baby,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,social,one,red,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,C,shared,blue,falling guy,H,unique,blue,no arms,C,shared,blue,falling guy,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,one,blue,L,shared,blue,zigzag,A,unique,blue,zombie,A,unique,blue,zombie,yes
51de4ab2-6711-497f-8b78-7cee710683d6,0,diff,refer,both,,L,shared,red,zigzag,A,unique,red,thriller,L,shared,red,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,red,L,shared,red,zigzag,D,unique,red,priest,D,unique,red,priest,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,B,shared,blue,mouse,D,unique,blue,long sleeved book,B,shared,blue,mouse,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,social,one,red,H,unique,red,baby,H,unique,blue,no arms,H,unique,red,baby,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,social,one,blue,H,unique,red,baby,H,unique,blue,no arms,H,unique,blue,no arms,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,C,shared,blue,falling guy,A,unique,blue,zombie,C,shared,blue,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,L,shared,red,zigzag,H,unique,red,baby,L,shared,red,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,blue,C,shared,blue,falling guy,H,unique,blue,no arms,H,unique,blue,no arms,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,blue,B,shared,blue,mouse,H,unique,blue,no arms,H,unique,blue,no arms,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,red,L,shared,red,zigzag,H,unique,red,baby,L,shared,red,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,blue,L,shared,blue,zigzag,A,unique,blue,zombie,A,unique,blue,zombie,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,blue,B,shared,blue,mouse,H,unique,blue,no arms,H,unique,blue,no arms,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,blue,C,shared,blue,falling guy,A,unique,blue,zombie,A,unique,blue,zombie,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,blue,L,shared,blue,zigzag,H,unique,blue,no arms,H,unique,blue,no arms,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,blue,B,shared,blue,mouse,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,refer,both,,C,shared,,falling guy,C,,unseen,no legs,C,shared,,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,blue,B,shared,blue,mouse,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,blue,C,shared,blue,falling guy,H,unique,blue,no arms,H,unique,blue,no arms,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,refer,one,blue,L,shared,,zigzag,L,,unseen,bent knees,L,shared,,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,red,B,shared,red,mouse,D,unique,red,priest,D,unique,red,priest,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,L,shared,red,zigzag,A,unique,red,thriller,L,shared,red,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,C,shared,blue,falling guy,H,unique,blue,no arms,C,shared,blue,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,red,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,C,shared,red,falling guy,D,unique,red,priest,C,shared,red,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,B,shared,red,mouse,A,unique,red,thriller,B,shared,red,mouse,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,blue,L,shared,blue,zigzag,H,unique,blue,no arms,H,unique,blue,no arms,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,refer,both,,L,shared,,zigzag,L,,unseen,bent knees,L,shared,,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,red,B,shared,red,mouse,A,unique,red,thriller,B,shared,red,mouse,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,red,C,shared,red,falling guy,A,unique,red,thriller,C,shared,red,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,B,shared,blue,mouse,A,unique,blue,zombie,B,shared,blue,mouse,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,A,unique,blue,zombie,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,social,one,red,A,unique,red,thriller,A,unique,blue,zombie,A,unique,red,thriller,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,red,L,shared,red,zigzag,H,unique,red,baby,L,shared,red,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,red,L,shared,red,zigzag,A,unique,red,thriller,L,shared,red,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,red,C,shared,red,falling guy,H,unique,red,baby,C,shared,red,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,B,shared,blue,mouse,H,unique,blue,no arms,B,shared,blue,mouse,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,blue,C,shared,blue,falling guy,A,unique,blue,zombie,A,unique,blue,zombie,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,red,C,shared,red,falling guy,D,unique,red,priest,C,shared,red,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,red,L,shared,red,zigzag,D,unique,red,priest,D,unique,red,priest,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,C,shared,red,falling guy,A,unique,red,thriller,C,shared,red,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,L,shared,blue,zigzag,H,unique,blue,no arms,L,shared,blue,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,refer,one,red,L,shared,,zigzag,L,,unseen,bent knees,L,shared,,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,C,shared,red,falling guy,H,unique,red,baby,C,shared,red,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,red,L,shared,red,zigzag,A,unique,red,thriller,L,shared,red,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,red,B,shared,red,mouse,A,unique,red,thriller,A,unique,red,thriller,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,L,shared,blue,zigzag,D,unique,blue,long sleeved book,L,shared,blue,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,social,one,red,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,red,priest,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,social,one,blue,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,blue,L,shared,blue,zigzag,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,red,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,B,shared,red,mouse,H,unique,red,baby,B,shared,red,mouse,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,refer,one,red,C,shared,,falling guy,C,,unseen,no legs,C,shared,,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,red,C,shared,red,falling guy,A,unique,red,thriller,C,shared,red,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,blue,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,red,C,shared,red,falling guy,H,unique,red,baby,C,shared,red,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,red,C,shared,red,falling guy,D,unique,red,priest,D,unique,red,priest,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,L,shared,red,zigzag,D,unique,red,priest,L,shared,red,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,L,shared,blue,zigzag,A,unique,blue,zombie,L,shared,blue,zigzag,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,A,unique,blue,zombie,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,refer,one,red,B,shared,,mouse,B,,unseen,princess dance,B,shared,,mouse,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,blue,C,shared,blue,falling guy,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,blue,L,shared,blue,zigzag,A,unique,blue,zombie,A,unique,blue,zombie,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,social,one,blue,L,shared,blue,zigzag,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,refer,one,blue,C,shared,,falling guy,C,,unseen,no legs,C,,unseen,no legs,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,both,,B,shared,red,mouse,D,unique,red,priest,B,shared,red,mouse,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,social,one,blue,A,unique,red,thriller,A,unique,blue,zombie,A,unique,blue,zombie,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,refer,both,,B,shared,,mouse,B,,unseen,princess dance,B,shared,,mouse,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,diff,refer,one,red,B,shared,red,mouse,D,unique,red,priest,D,unique,red,priest,yes
f06b2d3c-f7ea-48cf-bc91-3cb0c0ab4b4f,0,same,refer,one,blue,B,shared,,mouse,B,,unseen,princess dance,B,shared,,mouse,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,red,B,shared,red,mouse,A,unique,red,thriller,A,unique,red,thriller,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,red,L,shared,red,zigzag,A,unique,red,thriller,A,unique,red,thriller,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,blue,B,shared,blue,mouse,H,unique,blue,no arms,H,unique,blue,no arms,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,B,shared,blue,mouse,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,blue,L,shared,blue,zigzag,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,red,L,shared,red,zigzag,D,unique,red,priest,L,shared,red,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,social,one,red,A,unique,red,thriller,A,unique,blue,zombie,A,unique,red,thriller,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,red,B,shared,red,mouse,H,unique,red,baby,B,shared,red,mouse,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,blue,L,shared,blue,zigzag,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,B,shared,blue,mouse,A,unique,blue,zombie,B,shared,blue,mouse,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,refer,one,red,B,shared,,mouse,B,,unseen,princess dance,B,shared,,mouse,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,red,L,shared,red,zigzag,H,unique,red,baby,L,shared,red,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,red,L,shared,red,zigzag,D,unique,red,priest,L,shared,red,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,A,unique,blue,zombie,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,social,one,red,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,red,priest,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,A,unique,blue,zombie,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,red,C,shared,red,falling guy,A,unique,red,thriller,C,shared,red,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,refer,both,,B,shared,,mouse,B,,unseen,princess dance,B,shared,,mouse,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,refer,both,,C,shared,,falling guy,C,,unseen,no legs,C,shared,,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,L,shared,blue,zigzag,H,unique,blue,no arms,H,unique,blue,no arms,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,refer,one,blue,B,shared,,mouse,B,,unseen,princess dance,B,shared,,mouse,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,blue,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,blue,L,shared,blue,zigzag,H,unique,blue,no arms,H,unique,blue,no arms,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,C,shared,red,falling guy,H,unique,red,baby,C,shared,red,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,red,B,shared,red,mouse,D,unique,red,priest,B,shared,red,mouse,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,blue,C,shared,blue,falling guy,A,unique,blue,zombie,A,unique,blue,zombie,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,red,L,shared,red,zigzag,H,unique,red,baby,L,shared,red,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,social,one,blue,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,blue,L,shared,blue,zigzag,A,unique,blue,zombie,A,unique,blue,zombie,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,refer,one,blue,L,shared,,zigzag,L,,unseen,bent knees,L,shared,,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,B,shared,red,mouse,D,unique,red,priest,D,unique,red,priest,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,red,C,shared,red,falling guy,H,unique,red,baby,H,unique,red,baby,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,C,shared,blue,falling guy,H,unique,blue,no arms,C,shared,blue,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,blue,C,shared,blue,falling guy,A,unique,blue,zombie,C,shared,blue,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,C,shared,red,falling guy,A,unique,red,thriller,C,shared,red,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,blue,C,shared,blue,falling guy,H,unique,blue,no arms,C,shared,blue,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,L,shared,red,zigzag,D,unique,red,priest,L,shared,red,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,red,C,shared,red,falling guy,A,unique,red,thriller,A,unique,red,thriller,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,B,shared,red,mouse,A,unique,red,thriller,B,shared,red,mouse,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,C,shared,red,falling guy,D,unique,red,priest,C,shared,red,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,red,B,shared,red,mouse,D,unique,red,priest,D,unique,red,priest,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,C,shared,blue,falling guy,A,unique,blue,zombie,C,shared,blue,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,blue,B,shared,blue,mouse,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,blue,L,shared,blue,zigzag,H,unique,blue,no arms,H,unique,blue,no arms,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,blue,B,shared,blue,mouse,H,unique,blue,no arms,H,unique,blue,no arms,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,blue,C,shared,blue,falling guy,H,unique,blue,no arms,H,unique,blue,no arms,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,blue,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,refer,one,red,C,shared,,falling guy,C,,unseen,no legs,C,shared,,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,social,one,blue,A,unique,red,thriller,A,unique,blue,zombie,A,unique,blue,zombie,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,refer,both,,L,shared,,zigzag,L,,unseen,bent knees,L,shared,,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,red,B,shared,red,mouse,A,unique,red,thriller,A,unique,red,thriller,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,blue,L,shared,blue,zigzag,A,unique,blue,zombie,L,shared,blue,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,L,shared,blue,zigzag,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,blue,B,shared,blue,mouse,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,L,shared,red,zigzag,H,unique,red,baby,L,shared,red,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,refer,one,blue,C,shared,,falling guy,C,,unseen,no legs,C,shared,,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,red,C,shared,red,falling guy,D,unique,red,priest,C,shared,red,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,social,one,blue,H,unique,red,baby,H,unique,blue,no arms,H,unique,blue,no arms,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,red,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,social,one,red,C,shared,red,falling guy,D,unique,red,priest,D,unique,red,priest,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,red,C,shared,red,falling guy,H,unique,red,baby,C,shared,red,falling guy,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,refer,one,red,L,shared,,zigzag,L,,unseen,bent knees,L,shared,,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,one,red,L,shared,red,zigzag,A,unique,red,thriller,A,unique,red,thriller,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,same,social,one,red,H,unique,red,baby,H,unique,blue,no arms,H,unique,red,baby,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,L,shared,red,zigzag,A,unique,red,thriller,L,shared,red,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,L,shared,blue,zigzag,A,unique,blue,zombie,L,shared,blue,zigzag,yes
f7e88105-89e1-48d7-b7e1-f42ef012a526,0,diff,refer,both,,B,shared,blue,mouse,H,unique,blue,no arms,B,shared,blue,mouse,yes
299ff07b-2f82-43d8-a234-81eb0e513b68,1,diff,social,one,blue,H,shared,blue,baby,B,unique,blue,princess dance,B,unique,blue,princess dance,yes
299ff07b-2f82-43d8-a234-81eb0e513b68,1,diff,refer,one,blue,D,shared,blue,priest,C,unique,blue,no legs,C,unique,blue,no legs,yes
299ff07b-2f82-43d8-a234-81eb0e513b68,1,same,refer,one,red,D,shared,,priest,D,,unseen,long sleeved book,D,shared,,priest,yes
299ff07b-2f82-43d8-a234-81eb0e513b68,1,diff,refer,one,blue,A,shared,blue,thriller,L,unique,blue,bent knees,A,shared,blue,thriller,yes
